Obsah / typ dat,Licence,Počet datasetů,Link,Poskytovatel dat
MOBILITA & OBYVATELSTVO,,,,
"Jízdní řády, statistiky prodaných jízdenek a změny v dopravě",otevřená data,7,http://opendata.praha.eu/dataset?tags=ve%C5%99ejn%C3%A1+doprava&organization=dpp&_tags_limit=0,Dopravní podnik hl. m. Prahy
Vstupy a tarifní pásma PID,otevřená data,3,http://opendata.praha.eu/dataset?tags=ve%C5%99ejn%C3%A1+doprava&organization=ropid&_tags_limit=0,Ropid
Poloha vozidel PID (bez DP Praha),pro účely PH,,http://10.2.2.9/,Ropid
Liftago API Driver Acceptance Model,pro účely PH,,https://docs.google.com/document/d/16Nyrhb7lPqTx6AtTuYLoPKQqWMDEgujJJfAkdbyAwa4/edit?usp=sharing,Liftago
"Parkoviště, zóny placeného stání a parkomaty",otevřená data,3,http://opendata.praha.eu/dataset?tags=silni%C4%8Dn%C3%AD+doprava&_tags_limit=0,Institut pro plánování a rozvoj
Parkoviště ve správě TSK,otevřená data,1,http://opendata.praha.eu/dataset/parkoviste,Technická správa komunikací
Cyklistické trasy a značky,otevřená data,2,http://opendata.praha.eu/dataset?tags=cyklistick%C3%A1+doprava&_tags_limit=0,Institut pro plánování a rozvoj
Generel cyklistických tras,otevřená data,1,http://opendata.praha.eu/dataset?q=cyklistick%C3%A9&sort=score+desc%2C+metadata_modified+desc,Institut pro plánování a rozvoj
Přibližná aktuální poloha jednotlivých růžových kol,poloveřejné API,1,https://www.rekola.cz/api/mobile/trackables?apiversion=3.0.0&regions=1,Rekola
Vydané Lítačky a Opencard,otevřená data,2,http://opendata.praha.eu/organization/operatorict,Operátor ICT
Odtahy vozidel,otevřená data,2,http://opendata.praha.eu/dataset/sshmp-odtahy-vozidel,Hl. m. Praha
Monitoring odbavování služeb MHMP - Bohdalec,(c) Hl. m. Praha,1,http://bohdalec.webcall.praha.eu/mon/wc-mon.php?co=0,Hl. m. Praha
Monitoring odbavování služeb MHMP - Jarov,(c) Hl. m. Praha,1,http://jarov.webcall.praha.eu/mon/wc-mon.php?co=0,Hl. m. Praha
Monitoring odbavování služeb MHMP - Vysočany,(c) Hl. m. Praha,1,http://vysocany.webcall.praha.eu/mon/wc-mon.php?co=0,Hl. m. Praha
